# "Quelle:",,,,,,,"https://www.aggsoft.com/serial-data-logger/tutorials/modbus-data-logging/eastron-sdm630.htm",,,,,,
# ,,,,,,,"SDM630_MODBUS_Protocol.pdf","V1.8",,,,,
# ,,,,,,,,,,,,,
# "MB offs","d","Register","Par","hex","Hi","Lo","Description","Units","Data type","myUnits","will ich","query","tag"
,,,178,,,,"L2 export kwh","kwh",,"kWh","x",3,"E2_imp"
,,,179,,,,"L3 export kWh","kwh",,"kWh","x",3,"E3_imp"
,,,180,,,,"L1 total kwh(3)","kwh",,"kWh","x",3,"E1_sld"
,,,181,,,,"L2 total kWh(3)","kwh",,"kWh","x",3,"E2_sld"
,,,182,,,,"L3 total kwh(3)","kwh",,"kWh","x",3,"E3_sld"
,,,183,,,,"L1 import kvarh","kvarh",,"kVArh",,,
,,,184,,,,"L2 import kvarh","kvarh",,"kVArh",,,
,,,185,,,,"L3 import kvarh","kvarh",,"kVArh",,,
,,,186,,,,"L1 export kvarh","kvarh",,"kVArh",,,
,,,187,,,,"L2 export kvarh","kvarh",,"kVArh",,,
,,,188,,,,"L3 export kvarh","kvarh",,"kVArh",,,
,,,189,,,,"L1 total kvarh (3)","kvarh",,"kVArh",,,
,,,190,,,,"L2 total kvarh (3)","kvarh",,"kVArh",,,
,,,191,,,,"L3 total kvarh (3)","kvarh",,"kVArh",,,
